Name of Satellite  Alternate Names,Country/Org of UN Registry,Country of Operator/Owner,Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Angle,Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Date of Launch,Expected Lifetime (yrs.),Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,new_purpose,new_country,new_year,new_month,new_day,avgDis,new_period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aerocube 8B,NR,USA,Aerospace Corporation,Commercial,Technology Development,NAN,LEO,Non-Polar Inclined,0,356,700,-2.98,0.02,55,95.19,5,NAN,NAN,5/20/15,NAN,Aerospace Corporation,USA,Cape Canaveral,Atlas 5,2015-025K,40660,Commercial,USA,2015,5,20,528,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aerocube 8D,NR,USA,Aerospace Corporation,Commercial,Technology Development,NAN,LEO,Sun-Synchronous,0,572,584,-0.52,0,98,96.23,2,NAN,NAN,11/11/16,NAN,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5,2016-067E,41852,Commercial,USA,2016,11,11,578,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIM (Aeronomy of Ice in Mesosphere),USA,USA,Center for Atmospheric Sciences  Hampton University/NASA,Government,Earth Observation,Earth Science,LEO,Sun-Synchronous,0,544,552,1.08,0,97.9,96.2,215,197,216,4/25/07,2,Orbital Sciences Corp.,USA,Vandenberg AFB,Pegasus XL,2007-015A,31304,Government,USA,2007,4,25,548,2000 - 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AISat-1,Germany,Germany,German Aerospace Center (DLR),Government,Communications,Automatic Identification System (AIS),LEO,Sun-Synchronous,0,643,660,1.33,0,98.25,97.76,14,NAN,NAN,6/30/14,NAN,German Aerospace Center (DLR),Germany,Satish Dhawan Space Centre,PSLV-CA,2014-034B,40054,Government,Others,2014,6,30,651.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AISSat-1 (Automatic Identification System Satellite-1),Norway,Norway,Norwegian Coastal Admnistration,Government,Communications,Automatic Identification System (AIS),LEO,Sun-Synchronous,0,615,632,-0.04,0,98,97.2,6,NAN,NAN,7/12/10,3,Kongsberg Seatex AS/University of Toronto Institute for Aerospace Studies,Canada,Satish Dhawan Space Centre,PSLV,2010-035C,36797,Government,Others,2010,7,12,623.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AISSat-2 (Automatic Identification System Satellite-2),Norway,Norway,Norwegian Coastal Admnistration,Government,Communications,Automatic Identification System (AIS),LEO,Sun-Synchronous,0,625,631,2.18,0,98.4,97.27,6,NAN,NAN,7/8/14,3,Kongsberg Seatex AS/University of Toronto Institute for Aerospace Studies,Norway/Canada,Baikonur Cosmodrome,Soyuz-2.1b,2014-037G,40075,Government,Others,2014,7,8,628,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIST-1,Russia,Russia,Samara State Aerospace University  SGAU,Commercial/Civil,Technology Development,NAN,LEO,Polar,0,599,626,-1.99,0,82.4,96.9,NAN,NAN,NAN,12/28/13,NAN,TsSKB Progress,Russia,Plesetsk Cosmodrome,Soyuz 2 1v,2013-078C,39492,Multi-purpose,Russia,2013,12,28,612.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIST-2,Russia,Russia,Samara State Aerospace University  SGAU,Commercial/Civil,Technology Development,NAN,LEO,Non-Polar Inclined,0,558,582,0.11,0,64.88,96.06,53,NAN,NAN,4/19/13,3,Samara State Aerospace University  SGAU,Russia,Baikonur Cosmodrome,Soyuz 2.1a,2013-015D,39133,Multi-purpose,Russia,2013,4,19,570,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIST-2D,Russia,Russia,Samara State Aerospace University  SGAU,Commercial/Civil,Technology Development,NAN,LEO,Sun-Synchronous,0,471,486,1.4,0,97.28,94.18,531,NAN,NAN,4/27/16,NAN,Samara State Aerospace University/TsSKB Progress,Russia,Vostochny Cosmodrome,Soyuz 2.1a,2016-026B,41465,Multi-purpose,Russia,2016,4,27,478.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AISTechSat-2,NR,Spain,AISTech,Commercial,Earth Observation,Automatic Identification System (AIS),LEO,Sun-Synchronous,0,574,592,0.14,0,97.8,96.4,3,NAN,NAN,12/3/18,NAN,GomSpace ApS,Denmark,Vandenberg AFB,Falcon 9,2018-099L,43768,Commercial,Others,2018,12,3,583,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AISTechSat-3,NR (4/20),Spain,AISTech,Commercial,Earth Observation,Automatic Identification System (AIS),LEO,Sun-Synchronous,0,490,506,-2.51,0,97.5,94.6,2,NAN,NAN,4/1/19,NAN,GomSpace ApS,Denmark,Satish Dhawan Space Centre,PSLV,2019-018AB,44103,Commercial,Others,2019,4,1,498,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALE-2 (Astro Live Experiences-2),NR (3/20),Japan,Astro Live Experiences,Commercial,Earth Science,NAN,LEO,Sun-Synchronous,0,397,414,0.63,0,97.01,92.06,75,NAN,NAN,12/6/19,NAN,Astro Live Experiences,Japan,Rocket Lab Launch Complex 1,Electron,2019-084A,44824,Commercial,Others,2019,12,6,405.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al-Farabi-2,NR,Kazakhstan,Al-Farabi Kazakh National University,Civil,Technology Development,NAN,LEO,Sun-Synchronous,0,573,589,2.56,0,97.7,96.2,4,NAN,NAN,12/3/18,NAN,Al-Farabi Kazakh National University,Kazakhstan,Vandenberg AFB,Falcon 9,2018-099AZ,43805,Civil,Others,2018,12,3,581,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALiCE????(AFIT LEO iMESA CNT E),NR,USA,US Air Force Institute of Technology,Military,Technology Development,NAN,LEO,Polar,0,443,886,-2.59,0.03,120.3,98,5,NAN,NAN,12/6/13,NAN,US Air Force Institute of Technology,USA,Vandenberg AFB,Atlas 5,2013-072F,39467,Military,USA,2013,12,6,664.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alsat 2B,Algeria,Algeria,Algerian Space Agency (ASAL),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,646,660,2.08,0,98.2,97.7,117,NAN,NAN,9/26/16,5,Airbus Defense and Space,France/UK/Germany/Spain,Satish Dhawan Space Centre,PSLV,2016-059D,41786,Government,Others,2016,9,26,653,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alsat-1B,Algeria,Algeria,Algerian Space Agency (ASAL),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,661,704,-2.14,0,98.2,98.4,103,NAN,NAN,9/26/16,5,Surrey Satellite Technology Ltd.,UK,Satish Dhawan Space Centre,PSLV,2016-059C,41785,Government,Others,2016,9,26,682.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AlSat-1N,Algeria,Algeria,Algerian Space Agency (ASAL)/UK Space Agency,Government,Technology Development,NAN,LEO,Sun-Synchronous,0,661,698,1.59,0,98.2,98.3,10,NAN,NAN,9/26/16,NAN,Surrey Satellite Technology Ltd.,UK,Satish Dhawan Space Centre,PSLV,2016-059G,41789,Government,Others,2016,9,26,679.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alsat-2A (Algeria Satellite 2A),Algeria,Algeria,Algerian Space Agency (ASAL),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,672,674,2.86,0,98.1,98.2,130,NAN,NAN,7/12/10,5,EADS Astrium,France/UK/Germany/Spain,Satish Dhawan Space Centre,PSLV,2010-035D,36798,Government,Others,2010,7,12,673,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AmGU-1 (AmurSat-1),Russia,Russia,Moscow State University,Civil,Space Science,NAN,LEO,Sun-Synchronous,0,514,547,0.19,0,97.5,95.2,4,NAN,NAN,7/5/19,NAN,Moscow State University,Russia,Vostochny Cosmodrome,Soyuz 2.1b,2019-038J,44394,Civil,Russia,2019,7,5,530.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amsat-Oscar 7 (AO-7),USA,USA,AMSAT-NA,Civil,Communications,NAN,LEO,Polar,0,1440,1459,2.78,0,101.4,114.9,29,NAN,NAN,11/15/74,NAN,Amsat-NA,USA,Vandenberg AFB,Delta 2310,1974-089B,7530,Civil,USA,1974,11,15,1449.5,Before 1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANGELS (Argos Neo on a Generic Economical and Light Satellite),NR (3/20),ESA,Centre National d'Etudes Spatiales (CNES),Government,Communications,NAN,LEO,Sun-Synchronous,0,509,524,0.61,0,97.4,94.9,18,NAN,NAN,12/18/19,NAN,CNES ,ESA,Guiana Space Center,Soyuz,2019-092D,44876,Government,Others,2019,12,18,516.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aoba-VELOX 4,NR,Japan,Kyushu Institute of Technology (KIT),Civil,Technology Development,NAN,LEO,Sun-Synchronous,0,481,513,0.48,0,97.3,94.6,3,NAN,NAN,1/18/19,NAN,Kyushu Institute of Technology,Japan,Uchinoura Space Center,Epsilon,2019-003J,43940,Civil,Others,2019,1,18,497,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AprizeSat 1 (LatinSat-C),USA,Argentina,Aprize Satellite Argentina,Commercial,Communications/Technology Development,NAN,LEO,Sun-Synchronous,0,696,764,2.52,0,98,99.4,12,12,NAN,6/29/04,NAN,Aprize Satellite ,Argentina,Baikonur Cosmodrome,Dnepr,2004-025G,28372,Commercial,Others,2004,6,29,730,2000 - 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AprizeSat 10 (exactView-13),NR,USA/Argentina,Aprize Satellite,Commercial,Communications/Maritime Tracking,Automatic Identification System (AIS),LEO,Sun-Synchronous,0,613,733,-0.58,0.01,97.9,98,12,12,NAN,6/19/14,NAN,SpaceQuest,USA,Dombarovsky Air Base,Dnepr,2014-033K,40019,Commercial,Others,2014,6,19,673,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AprizeSat 2 (LatinSat-D),USA,Argentina,Aprize Satellite Argentina,Commercial,Communications/Technology Development,NAN,LEO,Sun-Synchronous,0,694,850,-1.59,0.01,98.2,100.3,12,12,NAN,6/29/04,NAN,Aprize Satellite ,Argentina,Baikonur Cosmodrome,Dnepr,2004-025A,28366,Commercial,Others,2004,6,29,772,2000 - 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AprizeSat 3,USA,USA/Argentina,Aprize Satellite,Commercial,Communications/Maritime Tracking,Automatic Identification System (AIS),LEO,Sun-Synchronous,0,559,662,0.46,0.01,98.18,97,12,12,NAN,7/29/09,NAN,SpaceQuest,USA,Baikonur Cosmodrome,Dnepr,2009-041F,35686,Commercial,Others,2009,7,29,610.5,2000 - 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AprizeSat 4,USA,USA/Argentina,Aprize Satellite,Commercial,Communications/Maritime Tracking,Automatic Identification System (AIS),LEO,Sun-Synchronous,0,604,674,0.94,0,98.1,97.5,12,12,NAN,7/29/09,NAN,SpaceQuest,USA,Baikonur Cosmodrome,Dnepr,2009-041D,35684,Commercial,Others,2009,7,29,639,2000 - 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AprizeSat 5,USA,Canada,Aprize Satellite,Commercial,Communications,Automatic Identification System (AIS),LEO,Sun-Synchronous,0,610,694,-2.88,0.01,98.2,97.8,12,12,NAN,8/17/11,NAN,SpaceQuest,USA,Dombarovsky Air Base,Dnepr,2011-044E,37792,Commercial,Others,2011,8,17,652,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AprizeSat 7,USA,Canada,Aprize Satellite,Commercial,Communications,Automatic Identification System (AIS),LEO,Sun-Synchronous,0,594,653,-0.75,0,97.8,97.17,12,12,NAN,11/21/13,NAN,SpaceQuest,USA,Dombarovsky Air Base,Dnepr,2013-066A,39416,Commercial,Others,2013,11,21,623.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AprizeSat 8 (exactView-12),NR,USA/Argentina,Aprize Satellite,Commercial,Communications/Maritime Tracking,Automatic Identification System (AIS),LEO,Sun-Synchronous,0,594,669,1.67,0.01,97.8,97.99,12,12,NAN,11/21/13,NAN,SpaceQuest,USA,Dombarovsky Air Base,Dnepr,2013-066K,39425,Commercial,Others,2013,11,21,631.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AprizeSat 9 (exactView-11),NR,Canada,exactEarth,Commercial,Communications/Maritime Tracking,Automatic Identification System (AIS),LEO,Sun-Synchronous,0,613,715,-0.55,0.01,97.9,98,12,12,NAN,6/19/14,NAN,SpaceQuest,USA,Dombarovsky Air Base,Dnepr,2014-033J,40018,Commercial,Others,2014,6,19,664,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkyd-6A,USA,USA,Planetary Resources,Commercial,Technology Development,NAN,LEO,Sun-Synchronous,0,493,505,2.61,0,97.5,94.5,10,NAN,NAN,1/11/18,NAN,Planetary Resources,USA,Satish Dhawan Space Centre,PSLV,2018-004V,43130,Commercial,USA,2018,1,11,499,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASNARO 1 (Advanced Satellite with New system Architecture for Observation),Japan,Japan,Japan Space Systems,Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,506,507,-0.97,0,97.48,94.75,500,NAN,NAN,11/6/14,3,NEC Corporation,Japan,Dombarovsky Air Base,Dnepr,2014-070A,40298,Government,Others,2014,11,6,506.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASNARO 2 (Advanced Satellite with New system Architecture for Observation),Japan,Japan,Japan Space Systems,Government,Earth Observation,Radar Imaging,LEO,Sun-Synchronous,0,493,505,-1.01,0,97.3,94.5,570,NAN,NAN,1/17/18,3,NEC Corporation,Japan,Uchinoura Space Center,Epsilon,2018-007A,43152,Government,Others,2018,1,17,499,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASTERIA ( (Arcsecond Space Telescope Enabling Research in Astrophysics),USA,USA,Massachusetts Institute of Technology/NASA ,Government/Civil,Technology Development,Space Science,LEO,Non-Polar Inclined,0,400,405,0.91,0,51.6,92.6,12,NAN,NAN,11/20/17,1,NASA Jet Propulsion Laboratory/MIT,USA,International Space Station,Nanorack Deployer,1998-067NH,43020,Multi-purpose,USA,2017,11,20,402.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astranis Demosat-2,USA,USA,Astranis,Commercial,Technology Development,NAN,LEO,Sun-Synchronous,0,494,505,0.73,0,97.5,94.5,NAN,NAN,NAN,1/11/18,NAN,Astranis,USA,Satish Dhawan Space Centre,PSLV,2018-004S,43127,Commercial,USA,2018,1,11,499.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astrocast 0.1,NR,Switzerland,Astrocast,Commercial,Communications,NAN,LEO,Sun-Synchronous,0,574,590,1.2,0,97.7,96.3,4,NAN,NAN,12/3/18,NAN,Astrocast,Switzerland,Vandenberg AFB,Falcon 9,2018-099AS,43798,Commercial,Others,2018,12,3,582,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astrocast 0.2,NR (11/19),Switzerland,Astrocast,Commercial,Communications,NAN,LEO,Sun-Synchronous,0,493,510,-2.49,0,97.5,94.6,4,NAN,NAN,4/1/19,NAN,Astrocast,Switzerland,Satish Dhawan Space Centre,PSLV,2019-018F,44083,Commercial,Others,2019,4,1,501.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astrosat,NR,India,Telemetry Tracking and Command Network (ISTRAC) Centre,Government,Space Science,NAN,LEO,Equatorial,0,632,649,0.56,0,5.99,97.54,230,NAN,NAN,9/28/15,5,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Centre,PSLV C-30,2015-052A,40930,Government,Others,2015,9,28,640.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Athenoxat-1 ((Athene Noctua Experimental Satellite),NR,Singapore,Microspace Rapid Pvt Ltd.,Commercial,Technology Development,NAN,LEO,Equatorial,0,532,550,0.48,0,14.98,95.46,6,NAN,NAN,12/16/15,NAN,Microspace Rapid Pvt Ltd.,Singapore,Satish Dhawan Space Centre,PSLV-C29,2015-077C,41168,Commercial,Others,2015,12,16,541,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL-1 (Advanced Technology of Laser  Magyar-OSCAR 106  MO-106),NR (3/20),Hungary,ATL (Advanced Technology of Laser),Commercial,Technology Development,NAN,LEO,Sun-Synchronous,0,328,372,-0.12,0,97,92,1,NAN,NAN,12/6/19,NAN,Advanced Technology of Laser,Hungary,Rocket Lab Launch Complex 1,Electron,2019-084H,44830,Commercial,Others,2019,12,6,350,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aurora????(Tabletsat-2U-EO),Russia,Russia,Sputnix Ltd.,Commercial,Technology Development,NAN,LEO,Sun-Synchronous,0,583,618,0.11,0,97.99,96.7,25,NAN,NAN,6/19/14,1,Sputnix Ltd.,Russia,Dombarovsky Air Base,Dnepr,2014-033H,40017,Commercial,Russia,2014,6,19,600.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AztecSat-1,Mexico,USA/Mexico,Autonomous Popular University of the State of Puebla,Government/Civil,Technology Development,NAN,LEO,Non-Polar Inclined,0,412,423,-2.21,0,51.6,92.9,2,NAN,NAN,2/19/20,NAN,NASA/Mexican Space Agency,USA/Mexico,International Space Station,Nanorack Deployer,1998-067RA,45257,Multi-purpose,Others,2020,2,19,417.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BARS-M (Cosmos 2503),Russia,Russia,Ministry of Defense,Military,Earth Observation,Electronic Intelligence,LEO,Sun-Synchronous,0,570,586,2.81,0,97.7,96.1,4000,NAN,NAN,2/27/15,5,Progress Rocket and Space Center,Russia,Plesetsk Cosmodrome,Soyuz-2.1b,2015-009A,40420,Military,Russia,2015,2,27,578,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BARS-M (Cosmos 2515),Russia,Russia,Ministry of Defense,Military,Earth Observation,Electronic Intelligence,LEO,Sun-Synchronous,0,549,594,0.28,0,97.62,96.1,4000,NAN,NAN,3/24/16,5,Progress Rocket and Space Center,Russia,Plesetsk Cosmodrome,Soyuz 2.1a,2016-020A,41394,Military,Russia,2016,3,24,571.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDSAGR-1,NR (3/20),China,GasTianta and GZH-HNJ BDS AGR Co.  Ltd.,Commercial,Earth Observation,NAN,LEO,Sun-Synchronous,0,613,634,0.42,0,97.9,97.1,40,NAN,NAN,12/21/19,3,MinoSpace Technology,China,Taiyuan Space Center,Long March 4B,2019-093A,44879,Commercial,China,2019,12,21,623.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beesat-9 (Tubsat-17),Germany,Germany,Technical University  Berlin,Civil,Technology Development,NAN,LEO,Sun-Synchronous,0,514,546,-1.95,0,97.5,95.2,1,NAN,NAN,7/5/19,NAN,Technical University Berlin,Germany,Vostochny Cosmodrome,Soyuz 2.1b,2019-038AC,44412,Civil,Others,2019,7,5,530,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BeijingGalaxy-1 (Beijing 1 [Tsinghua]  Tsinghau-2  China DMC+4),China,China,Beijing Landview Mapping Information Technology Co. Ltd (BLMIT),Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,681,703,1.87,0,97.9,98.6,166,155,50,10/27/05,7,Tsinghua University/University of Surrey,China/UK,Plesetsk Cosmodrome,Kosmos 3M,2005-043A,28890,Commercial,China,2005,10,27,692,2000 - 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan-1 (Birds-2),Bhutan,Bhutan,Information and Communications Ministry,Government,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,398,409,-1.6,0,51.6,95,2,NAN,NAN,8/10/18,NAN,JAXA/Kyushu Institute of Technology,Japan,International Space Station,J-SSOD Deployer,1998-067PF,43591,Government,Others,2018,8,10,403.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bird 2 (Bispectral InfraRed Detector 2),Germany,Germany,Institute of Space Sensor Technology and Planetary Exploration,Government/Civil,Earth Observation/Technology Development,Optical Imaging,LEO,Sun-Synchronous,0,500,521,1.56,0,97.9,94.8,92,77,120,10/22/01,1.5,Deutsches Zentrum f??r Luft- und Raumfahrt,Germany,Satish Dhawan Space Centre,PSLV C3,2001-049C,26959,Multi-purpose,Others,2001,10,22,510.5,2000 - 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIROS (Bispectral Infrared Optical System),Germany,Germany,German Aerospace Center (DLR),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,500,517,-1.76,0,97.5,94.7,130,NAN,NAN,6/22/16,NAN,German Aerospace Center (DLR),Germany,Satish Dhawan Space Centre,PSLV XL,2016-040F,41604,Government,Others,2016,6,22,508.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BisonSat (Nwist Qwiqway),NR,USA,Salish Kootenai College,Civil,Earth Observation/Technology Development,Optical Imaging,LEO,Non-Polar Inclined,0,497,801,2.67,0.02,64.78,97.7,1,NAN,NAN,10/8/15,NAN,Salish Kootenai College,USA,Cape Canaveral,Atlas 5,2015-058E,40968,Civil,USA,2015,10,8,649,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BKA 2 (BelKA 2),Belarus,Belarus,National Academy of Sciences,Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,503,507,1.6,0,97.5,94.7,400,110,300,7/22/12,5,NPO VNIIEM,Russia,Baikonur Cosmodrome,Soyuz-Fregat,2012-039B,38708,Government,Others,2012,7,22,505,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlackSky Global 1,NR,USA,BlackSky Global,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,484,500,1.16,0,97.5,94.7,56,NAN,NAN,11/29/18,NAN,Spaceflight Industries,USA,Satish Dhawan Space Centre,PSLV,2018-096M,43730,Commercial,USA,2018,11,29,492,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlackSky Global 2,NR,USA,BlackSky Global,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,577,591,0.18,0,97.7,96.3,55,NAN,NAN,12/3/18,NAN,Spaceflight Industries,USA,Vandenberg AFB,Falcon 9,2018-099BG,43812,Commercial,USA,2018,12,3,584,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlackSky Global 3,NR (11/19),USA,BlackSky Global,Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,450,461,-1.37,0,45.1,93.7,56,NAN,NAN,6/29/19,NAN,Spaceflight Industries,USA,Rocket Lab Launch Complex 1,Electron,2019-037C,44367,Commercial,USA,2019,6,29,455.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlackSky Global 4,NR (11/19),USA,BlackSky Global,Commercial,Earth Observation,Optical Imaging,LEO,Non-Polar Inclined,0,538,549,-0.13,0,45.01,95.5,56,NAN,NAN,8/19/19,NAN,Spaceflight Industries,USA,Rocket Lab Launch Complex 1,Electron,2019-054E,44499,Commercial,USA,2019,8,19,543.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlackSky Pathfinder 1,USA,USA,BlackSky Global,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,661,701,-1.48,0,98.2,98.3,44,NAN,NAN,9/26/16,3,Spaceflight Industries,USA,Satish Dhawan Space Centre,PSLV,2016-059E,41787,Commercial,USA,2016,9,26,681,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bluewalker 1,Lithuania,Lithuania,NanoAvionics,Commercial,Technology Development,NAN,LEO,Sun-Synchronous,0,435,519,-0.57,0.01,97.5,94,10,NAN,NAN,4/1/19,NAN,NanoAvionics,Lithuania,Satish Dhawan Space Centre,PSLV,2019-018AD,44105,Commercial,Others,2019,4,1,477,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRIO ,NR,USA,SpaceQuest,Commercial,Technology Development,NAN,LEO,Sun-Synchronous,0,574,591,-2.65,0,97.7,96.3,4,NAN,NAN,12/3/18,NAN,SpaceQuest,USA,Vandenberg AFB,Falcon 9,2018-099BH,43813,Commercial,USA,2018,12,3,582.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRITE-CA-1 (BRITE Toronto),NR,Canada,University of Toronto  Institute for Aerospace Studies,Civil,Space Science,NAN,LEO,Sun-Synchronous,0,613,739,-1.93,0.01,97.97,98.27,10,NAN,NAN,6/19/14,NAN,University of Toronto  Institute for Aerospace Studies,Canada,Dombarovsky Air Base,Dnepr,2014-033L,40020,Civil,Others,2014,6,19,676,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRITE-PL-1 (BRIght-star Target Explorer - Poland  Lem),Poland,Multinational,BRITE Consortium,Government,Space Science,NAN,LEO,Sun-Synchronous,0,594,886,1.95,0.02,97.7,99.6,10,NAN,NAN,11/21/13,2,Space Research Center  Polish Academy of Sciences,Poland,Dombarovsky Air Base,Dnepr,2013-066R,39431,Government,Multinational,2013,11,21,740,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRITE-PL-2 (BRIght-star Target Explorer - Poland  Hevelius),NR,Multinational,BRITE Consortium,Government,Space Science,NAN,LEO,Sun-Synchronous,0,610,633,-2.03,0,98.02,97.1,10,NAN,NAN,8/19/14,2,Space Research Center  Polish Academy of Sciences,Poland,Taiyuan Launch Center,CZ-4B,2014-049B,40119,Government,Multinational,2014,8,19,621.5,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRO-One,NR (11/19),France,UnseenLabs,Commercial,Earth Observation,Maritime Surveillance,LEO,Non-Polar Inclined,0,536,550,0.31,0,45.01,95.5,8,NAN,NAN,8/19/19,NAN,GomSpace ApS,Denmark,Rocket Lab Launch Complex 1,Electron,2018-054A,44495,Commercial,Others,2019,8,19,543,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buccaneer RMM,Australia,Australia,Defence Science and Technology Group/University of New South Wales,Military/Civil,Technology Development,NAN,LEO,NAN,0,459,819,1.24,0.03,97.6,97.4,4,NAN,NAN,11/18/17,5,Defence Science and Technology Group/University of New South Wales,Australia,Vandenberg AFB,Delta 2,2017-073B,43014,Multi-purpose,Others,2017,11,18,639,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bufeng-1A,NR (11/19),China,China Academy of Space Technology (CAST),Government,Earth Observation,Meteorology,LEO,Non-Polar Inclined,0,555,575,-2.9,0,45,96,NAN,NAN,NAN,6/5/19,NAN,China Academy of Space Technology (CAST),China,Yellow Sea Launch Platform,Long March 11,2019-032C,44312,Government,China,2019,6,5,565,2010 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
